"Time","Message","Severity"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9801-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3929.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9803-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3936.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9803-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3936.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9851-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3928.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9851-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3928.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-8AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3931.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-8AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3931.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-9AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3937.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-9AJ.mp3 >> C:\Users\Music Director\Documents\testspots\3937.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-AAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3934.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-AAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3934.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\RADIOCSG-BAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3938.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\RADIOCSG-BAJ.mp3 >> C:\Users\Music Director\Documents\testspots\3938.wav","Information"
"12/20/2018 3:41 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9799-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3927.wav","Information"
